activity_at_injury_unique,injury_mechanism_unique,object_involved_unique
"lifting heavy load of laundry, shoveling snow",,
lifting heavy loads of laundry,,
lifting heavy luggage,,
lifting heavy mattress,,
lifting heavy metal pipes,,
lifting heavy mirror,,
lifting heavy moving boxes,,
lifting heavy ns box,,
lifting heavy ns boxes,,
lifting heavy obj up a flight of stairs,,
"lifting heavy obj, putting on socks",,
lifting heavy object in shed,,
lifting heavy object up stairs,,
lifting heavy objects,,
lifting heavy objects from off the floor,,
"lifting heavy objects, lifting weights during a workout",,
lifting heavy pallet,,
lifting heavy patio stones,,
lifting heavy piece of furniture,,
lifting heavy pieces of furniture,,
lifting heavy pipes,,
lifting heavy planter,,
lifting heavy plastic totes,,
lifting heavy pot,,
lifting heavy pot off the stove,,
lifting heavy pots and pans,,
lifting heavy potted plants,,
lifting heavy power washer,,
lifting heavy propane tanks,,
lifting heavy radiator up the stairs,,
lifting heavy shopping bags,,
lifting heavy shopping cart up 3 flights of stairs,,
lifting heavy snowblower,,
lifting heavy speakers,,
lifting heavy stepping stones in yard,,
lifting heavy stroller,,
lifting heavy suitcase,,
lifting heavy suitcases,,
lifting heavy table,,
lifting heavy television onto high shelf,,
lifting heavy things,,
lifting heavy tools,,
lifting heavy tools off ground,,
lifting heavy tote,,
lifting heavy totes,,
lifting heavy trash,,
lifting heavy trash bag,,
lifting heavy trash bag and threw it in dumpster,,
lifting heavy trash bags,,
lifting heavy trash can,,
lifting heavy tv,,
lifting heavy tv over head,,
lifting heavy tv set,,
lifting heavy tvs,,
lifting heavy washerdryer,,
lifting heavy water bottle case,,
lifting heavy water bottles,,
lifting heavy water container,,
lifting heavy weight,,
lifting heavy weight off the ground,,
lifting heavy weight working out with his football team in the gym,,
lifting heavy weights,,
lifting heavy weights and machinery,,
lifting heavy weights and working out,,
lifting heavy weights at the gym,,
lifting heavy weights during workout,,
lifting heavy weights in the gym,,
"lifting heavy weights, squats",,
lifting heavy wet laundry,,
lifting heavy wheelbarrow,,
lifting heavy wooden door,,
lifting heavyload of laundry,,
lifting heavyweights at the gym,,
lifting hedge trimmers,,
lifting her 35 pound suitcase out of her car,,
lifting her 6mo son out of a swing,,
lifting her arm and carrying her purse,,
lifting her arm up to get something off a shelf,,
lifting her artificial christmas tree,,
lifting her baby out of her crib,,
lifting her backpack,,
lifting her bed with an umbrella,,
lifting her bike off the bike rack on a bus,,
lifting her carseat with her child in it out of her car,,
lifting her child out of a car seat,,
lifting her child out of shopping cart,,
lifting her child to put into bathtub,,
lifting her clothes from the floor,,
lifting her disabled son out of bed,,
lifting her dog up onto the bed,,
lifting her father off of the floor,,
lifting her from bed,,
lifting her grandchild,,
lifting her grandchild and pushing heavy grocery cart and doing laundry,,
"lifting her grandmother, moving her, and sleeping on an air mattress",,
lifting her grandmothers air conditioner,,
lifting her grocery bag,,
lifting her husband out of bed,,
lifting her laundry,,
lifting her laundry basket,,
lifting her laundry cart with clothes upstairs,,
lifting her leg onto a bench,,
lifting her leg to put on her pants,,
lifting her luggage,,
lifting her luggage at the airport,,
lifting her mattress,,
lifting her son out of his high chair,,
lifting her son out of the bathtub,,
lifting her sons carriage over the stairs,,
lifting her suitcase,,
lifting her toddler out of the crib,,
lifting herself from the toilet,,
lifting herself out of her highchair,,
lifting herself out of her recliner chair,,
lifting herself up on the couch,,
lifting herself up onto her invalid assisted motorized mobility scooter,,
lifting hger mattress,,
lifting him by his arms over the arm of a chair,,
lifting him up over a fence,,
lifting himself from bed to wheelchair,,
lifting himself out of bed,,
lifting his 50 lbs dog onto his bed,,
lifting his arms over shoulder height to take off or put on a shirt and when he reaches around behind the midline,,
lifting his arms up to fix a pic on a wall,,
lifting his backpack,,
lifting his bag,,
lifting his bed,,
lifting his bicycle off the rack of the train,,
lifting his bike,,
lifting his chicken coop,,
lifting his child into top bunk bed,,
lifting his computer,,
lifting his daughter in her stroller to carry them up the stairs,,
lifting his duffle bag,,
lifting his lawn mower,,
lifting his lawn mower to adjust the throttle,,
lifting his mattress,,
lifting his mom up on his shoulders,,
lifting his moms luggage,,
lifting his moped,,
lifting his mother from wheelchair to the bed,,
lifting his mother of the commode,,
lifting his mother out of a bed,,
lifting his snowblower to put into his truck,,
lifting his son,,
lifting his son out of a playpen,,
lifting his television,,
lifting his wife's heavy luggage,,
lifting horse saddle,,
lifting hot water heater,,
lifting house siding,,
lifting husband off of floor,,
lifting husband out of chair,,
lifting husbands bag,,
lifting hutch,,
lifting hvy 60 bag in airport,,
lifting hvy bottle,,
lifting hvy boxes,,
lifting hvy metal boxes,,
lifting hvy watermelon,,
lifting ice chest,,
lifting in the gym,,
lifting incline bench press w 135 pounds,,
lifting it,,
lifting it up,,
lifting item over railing,,
lifting jack,,
lifting jack out of his truck,,
lifting kerosene heater,,
lifting kettle,,
lifting kids over headalso exercises frequently,,
lifting kitchen table,,
lifting kitty liter,,
lifting ladder,,
lifting large bag of dog food,,
lifting large barrels,,
lifting large heavy rug,,
lifting large hot pot,,
lifting large pot of boiling water,,
lifting large pot of water and twisting,,
lifting large pump into back of truck,,
lifting large tv,,
lifting laundry,,
lifting laundry basket,,
lifting laundry basket and putting away clothes,,
lifting laundry baskets,,
lifting laundry upstairs,,
lifting laundrybasket,,
lifting lawn equipment,,
lifting lawn mower,,
lifting lawnmower,,
lifting lawnmower off trailer,,
lifting lawnmower out of basement,,
lifting leg into shower,,
lifting leg off the bed,,
lifting leg onto bed,,
lifting leg over edge of shower,,
lifting leg to take sock off,,
"lifting leg, mopping and sweeping",,
lifting log splitter,,
lifting luggage,,
lifting luggage at the airport,,
lifting luggage into the overhead space of an airplane,,
lifting luggage on a train car and lifting weight in the gym,,
lifting luggage out of car,,
lifting luggage overhead,,
lifting many heavy boxes,,
lifting mattress,,
lifting mattress from the floor,,
lifting mattresses,,
lifting metal boxes,,
lifting metal scrap,,
lifting metal tube,,
lifting milk crate,,
lifting milk from refrigerator,,
lifting mom out of bed,,
lifting mom up into bed,,
lifting motorized cart,,
lifting moving and putting together heavy furniture,,
lifting moving heavy boxes,,
lifting moving heavy furniture,,
lifting mulch,,
lifting neighbors boiler,,
lifting night stand,,
lifting ns box,,
lifting ns box of ns bottles,,
lifting objects up and down flights of stairs,,
lifting of furniture,,
lifting of heavy boxes,,
lifting of heavy chairs,,
lifting of heavy ladders,,
lifting off of stove,,
"lifting on a couch, shoveling snow",,
lifting onto foot,,
lifting onto shelf,,
lifting or carrying pushing up from chair,,
lifting or pulling moving furniture,,
lifting oven from table,,
lifting own bike,,
lifting oxygen bottle,,
lifting pack of shingles,,
lifting package box off doorstep,,
lifting packing heavy suitcase,,
lifting paint,,
lifting painting,,
lifting pallets,,
lifting pans of food,,
lifting papers from off the floor,,
lifting paver stones,,
lifting picnic table and umbrella,,
lifting pipe,,
lifting plywood,,
lifting portable toilet,,
lifting pot lid,,
lifting pot lid cooking,,
lifting pot of boiling water out of sink,,
lifting pot off of stove,,
lifting pots,,
lifting pots from her porch,,
lifting potted plant,,
lifting privacy fence,,
lifting pt by arms out of bed,,
lifting pt from chair,,
lifting pt into pool,,
lifting pt into vehicle,,
lifting pt off floor,,
lifting pt out of bouncer seat,,
lifting pt out of crib,,
lifting pt out of stroller,,
lifting pt up to place pt in his bed,,
lifting pulling a heavy bag,,
lifting raccoon trap,,
lifting recycling container,,
lifting refrigerator,,
lifting riding lawn mower,,
lifting riding lawn mower into shed,,
lifting safe up to shelf,,
lifting sand bags,,
lifting saw blade,,
lifting scooter,,
lifting self from chair,,
lifting self into bed,,
lifting self off commode,,
lifting self out of a recliner chair,,
lifting self out of bed,,
lifting self out of the bed,,
lifting self up from floor,,
lifting self up on a chair,,
lifting several bags of concrete,,
lifting sheets of plywood over his head,,
lifting shingles,,
lifting shirt,,
lifting shopping bags,,
lifting small air conditioner,,
lifting small laundry hamper,,
lifting snowblower into back of truck,,
lifting sofa,,
lifting sofa cushions,,
lifting some 20 lb weights,,
lifting some 50 pounds bags of bird seed,,
lifting some boxes,,
lifting some boxes of tiles and a generator,,
lifting some chain link fence into a pickup,,
lifting some chairs,,
lifting some cratesboxes,,
lifting some feed,,
lifting some flooring,,
lifting some furniture,,
lifting some heavy boxes,,
lifting some heavy cases of water,,
lifting some heavy furniture,,
lifting some hvy boxes,,
lifting some laundry baskets,,
lifting some paint cans,,
lifting someone into bed,,
lifting something,,
lifting something and moving furniture,,
lifting something from a table,,
lifting something from floor,,
lifting something heavy,,
lifting something heavy from high shelf,,
lifting something into the back of a truck,,
lifting something of the floor,,
lifting something off the floor,,
lifting something out of stove,,
lifting something over the railing,,
lifting son out of a car seat,,
lifting speakers,,
lifting sports,,
lifting steel fence,,
lifting stereo speakers,,
lifting sth heavy,,
lifting storage unit door,,
lifting stove,,
lifting stroller,,
lifting suit case,,
lifting suitcase,,
lifting suitcases,,
lifting swing,,
lifting swing set,,
lifting table,,
lifting tables,,
lifting tea kettle,,
lifting television,,
lifting tents,,
lifting the baby stroller,,
lifting the back off the toilet seat,,
lifting the cabinet,,
lifting the carseat from the stroller,,
lifting the garage door,,
lifting the heavy plastic lid off of a large trash can,,
lifting the lid of a pot,,
lifting the mattress and the mattress frame,,
lifting the pot,,
lifting the recycling bin in awkward position,,
lifting the toilets,,
lifting the trash bag,,
lifting the vacuum,,
lifting things full of cans,,
lifting toilet,,
lifting toilet seat,,
lifting tool box,,
lifting toolbox,,
lifting tote,,
lifting tote off shelf,,
lifting tractor size tire w flipping tires,,
lifting trailer hitch on to truck,,
lifting trash bags,,
lifting trash bags into dumpster,,
lifting trash can,,
lifting trash can filled w water,,
lifting tree limbs and picking up boxes,,
lifting turkey into sink,,
lifting turkey out of oven,,
lifting tv,,
lifting tv set with grandson,,
lifting tv to put on wall,,
lifting twisting cutting firewood,,
lifting two heavy bottles of water,,
lifting unk heavy object,,
lifting unloading mower off truck,,
lifting unspecified furniture,,
lifting unspecified packages while shopping,,
lifting up,,
lifting up a 24 pack of soda,,
lifting up a artificial christmas tree,,
lifting up a box,,
lifting up a cabinet,,
lifting up a computer,,
lifting up a door,,
lifting up a five gallon bucket of water,,
"lifting up a friend, football practice",,
lifting up a heavy case of soda;mechanical trip and fall,,
lifting up a heavy garage door,,
lifting up a heavy upholstered chair,,
lifting up a large glass cover for a picture,,
lifting up a mattress,,
lifting up a new toilet,,
lifting up a pallet of 2x4s,,
lifting up a pile of heavy wet newspapers,,
lifting up a sectional couch,,
lifting up a sewer top,,
lifting up a table while cleaning,,
lifting up an adj basketball backboard,,
lifting up an air conditioner,,
lifting up curio cabinet,,
lifting up deer stand,,
lifting up father from floor,,
lifting up garage door,,
lifting up glass window,,
lifting up heavy luggage,,
lifting up her dog food bowl,,
lifting up his bag over his head,,
lifting up his car,,
lifting up his garage door,,
lifting up moving his atv,,
lifting up on a pull up bar,,
lifting up out of a foam pit,,
lifting up pocketbook,,
lifting up the car seat,,
lifting up the headboard,,
lifting up the microwave,,
lifting up tiles on floor,,
lifting up to a shelf,,
lifting very heavy deadlift,,
lifting very heavy garage door,,
lifting walker,,
lifting washer,,
lifting washing machine,,
lifting washing machine dryer,,
lifting washing machine overhead,,
lifting water bottles,,
lifting weight,,
lifting weight and walking on treadmill,,
lifting weight bar,,
lifting weight bar over head,,
lifting weight curls overhead press extensions,,
lifting weights,,
lifting weights above head,,
lifting weights above her head,,
lifting weights and 20 min on treadmill at gym,,
lifting weights and benchpressing,,
lifting weights and calisthenics,,
lifting weights and doing indoor climbing,,
lifting weights and doing jujutsu,,
lifting weights and doing lunges,,
lifting weights and doing pushups,,
lifting weights and doing situps,,
lifting weights and doing squats,,
lifting weights and exercise,,
lifting weights and exercising,,
lifting weights and playing golf,,
lifting weights and playing lacrosse,,
